,Device,Qubits,Model,Model_spec,sim_iter_num,Dataset,MAE,MSE,RMSE,R-squared,Adj R-squared
70,FakeGuadalupeV2,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,Train,0.08849201028700918,0.012967357863945808,0.1138743073039121,0.9334744096103589,0.9306733321202687
71,FakeGuadalupeV2,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,Test,0.09588237516582013,0.014068234630614527,0.11860958911746776,0.8946345565010569,0.8665371049013388
72,FakeGuadalupeV2,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,Train,0.10911712928675116,0.020988101188415636,0.14487270684437298,0.8923261132015973,0.8877924758627171
73,FakeGuadalupeV2,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,Test,0.09737476892769337,0.016467355330389392,0.1283251936697911,0.8766661032319327,0.8437770640937814
74,FakeGuadalupeV2,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,Train,0.10716903062537313,0.018798741841431793,0.13710850389903537,0.9035580406814533,0.8994973266048829
75,FakeGuadalupeV2,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,Test,0.07972898073494435,0.012287507318511188,0.11084902939814668,0.9079714909435737,0.8834305551951933
76,FakeGuadalupeV2,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,Train,0.10344973279163241,0.018421556039524188,0.13572603302065595,0.9054930924029964,0.9015138541883857
77,FakeGuadalupeV2,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,Test,0.08633049931377172,0.013348834446908311,0.11553715613129964,0.9000225757799276,0.8733619293212417
78,FakeGuadalupeV2,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,Train,0.10769368601031601,0.019496684123493025,0.1396305271904859,0.8999774329077516,0.8957659563986042
79,FakeGuadalupeV2,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,Test,0.08459899313747883,0.011863716249953813,0.10892068788781042,0.9111455163321087,0.8874509873540044
80,AerSim with backend noise,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,Train,0.09010535718873143,0.015776359908213414,0.1256039804632537,0.9190635696103168,0.9156557199096985
81,AerSim with backend noise,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,Test,0.07737793698906899,0.010413057883522103,0.10204439172988441,0.9220103665537497,0.901213130968083
82,AerSim with backend noise,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,Train,0.12262044336413964,0.025636941608917593,0.16011540091108536,0.8684764703640999,0.8629386375373251
83,AerSim with backend noise,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,Test,0.12836334351450204,0.025555365590604662,0.1598604566195301,0.8086005458444598,0.7575606914029824
84,AerSim with backend noise,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,Train,0.10290726027451455,0.019187952101504355,0.13852058367442852,0.9015613006663555,0.8974165133259916
