,Device,Qubits,Model,Model_spec,sim_iter_num,Dataset,binary_cross_entropy_loss,accuracy,best_epoch
142,AerSim (IBM-Yonsei),8,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,Train,0.401436448097229,83.0,17.0
143,AerSim (IBM-Yonsei),8,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,Test,0.36051833629608154,87.0,17.0
144,AerSim (IBM-Yonsei),8,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,Train,0.6081799268722534,80.0,18.0
145,AerSim (IBM-Yonsei),8,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,Test,0.5911665558815002,86.5,18.0
146,AerSim (IBM-Yonsei),8,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,Train,0.447063684463501,85.5,13.0
147,AerSim (IBM-Yonsei),8,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,Test,0.38365375995635986,93.0,13.0
148,AerSim (IBM-Yonsei),8,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,Train,0.47304394841194153,87.0,19.0
149,AerSim (IBM-Yonsei),8,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,Test,0.43226704001426697,91.5,19.0
150,noiseless,8,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,Train,0.30404189229011536,86.0,17.0
151,noiseless,8,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,Test,0.22529125213623047,93.0,17.0
152,noiseless,8,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,Train,0.3342885971069336,85.5,13.0
153,noiseless,8,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,Test,0.24602748453617096,92.5,13.0
154,noiseless,8,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,Train,0.3390592634677887,85.0,11.0
155,noiseless,8,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,Test,0.251972496509552,93.0,11.0
156,noiseless,8,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,Train,0.3104251027107239,87.0,13.0
157,noiseless,8,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,Test,0.2583644986152649,93.0,13.0
158,noiseless,8,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,Train,0.33305537700653076,86.0,17.0
159,noiseless,8,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,Test,0.2543119192123413,92.0,17.0
160,FakeGuadalupeV2,8,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,Train,0.36923104524612427,87.5,10.0
